"id","camping","plaats","provincie","officiele_organisatie","officiele_profiel_url","campingkiezer_profiel","claim_url"
"ck0443","Capfun Camping Rakelbos","Westelbeers","Noord-Brabant","Capfun","https://www.capfun.nl/camping-frankrijk-brabant-rakelbos-NL.html","https://camping-kiezer.nl/camping/capfun-camping-rakelbos/","https://camping-kiezer.nl/claim-uw-camping/?profiel=capfun-camping-rakelbos"
"ck0444","Capfun de Belten","Rheeze","Overijssel","Capfun","https://www.capfun.nl/camping-frankrijk-overijssel-de_belten-NL.html","https://camping-kiezer.nl/camping/capfun-de-belten/","https://camping-kiezer.nl/claim-uw-camping/?profiel=capfun-de-belten"
"ck0445","Capfun Groene Eiland","Appeltern","Gelderland","Capfun","https://www.capfun.nl/camping-frankrijk-gelderland-groene_eiland-NL.html","https://camping-kiezer.nl/camping/capfun-groene-eiland/","https://camping-kiezer.nl/claim-uw-camping/?profiel=capfun-groene-eiland"
"ck0016","Capfun IJsselstrand","Doesburg","Gelderland","Capfun","https://www.capfun.nl/camping-frankrijk-gelderland-ijsselstrand-NL.html","https://camping-kiezer.nl/camping/capfun-ijsselstrand/","https://camping-kiezer.nl/claim-uw-camping/?profiel=capfun-ijsselstrand"
"ck0378","Capfun Wondermolen","Molenschot","Noord-Brabant","Capfun","https://www.capfun.nl/camping-frankrijk-brabant-wondermolen-NL.html","https://camping-kiezer.nl/camping/camping-linberg-park/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-linberg-park"
"ck2589","Het Eibernest","Eibergen","Gelderland","Capfun","https://www.capfun.nl/camping-nederland-gelderland-eibernest-NL.html","https://camping-kiezer.nl/camping/het-eibernest/","https://camping-kiezer.nl/claim-uw-camping/?profiel=het-eibernest"
"ck3387","Recreatiecentrum De Wâldsang","Bakkeveen","Friesland","Capfun","https://www.capfun.nl/camping-nederland-friesland-waldsang-NL.html","https://camping-kiezer.nl/camping/recreatiecentrum-de-waldsang/","https://camping-kiezer.nl/claim-uw-camping/?profiel=recreatiecentrum-de-waldsang"
"ck0651","Vakantiepark Capfun de Eikenhof","Paasloo","Overijssel","Capfun","https://www.capfun.nl/camping-frankrijk-overijssel-de_eikenhof-NL.html","https://camping-kiezer.nl/camping/vakantiepark-capfun-de-eikenhof/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-capfun-de-eikenhof"
"ck0652","Vakantiepark Capfun de Scheepsbel","Nunspeet","Gelderland","Capfun","https://www.capfun.nl/camping-frankrijk-gelderland-de_scheepsbel-NL.html","https://camping-kiezer.nl/camping/vakantiepark-capfun-de-scheepsbel/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-capfun-de-scheepsbel"
"ck0693","Vakantiepark Capfun Stoetenslagh","Rheezerveen","Overijssel","Capfun","https://www.capfun.nl/camping-nederland-overijssel-stoetenslagh-NL.html","https://camping-kiezer.nl/camping/vakantiepark-capfun-stoetenslagh/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-capfun-stoetenslagh"
